Name,Email,Phone,Role,Program/Position,Year,StudentID
Siti Aminah,siti.aminah@umt.edu.my,01122334455,COMMITTEE,President,3,UK2001
Mohd Hafiz,hafiz.m@umt.edu.my,01234567891,COMMITTEE,Vice President,3,UK2002
Nurul Izzah,izzah.n@umt.edu.my,01345678901,COMMITTEE,Secretary,2,UK2003
Ahmad Faris,faris.a@umt.edu.my,01456789012,COMMITTEE,Treasurer,2,UK2004
Wong Wei Jie,weijie.w@umt.edu.my,01567890123,COMMITTEE,Exco Multimedia,2,UK2005
Pravin Kumar,pravin.k@umt.edu.my,01678901234,COMMITTEE,Exco Logistik,2,UK2006
Fatin Nabila,fatin.n@umt.edu.my,01789012345,COMMITTEE,Exco Protokol,2,UK2007
Amirul Asyraf,amirul.a@umt.edu.my,01890123456,MEMBER,Software Engineering,1,UK2008
Diana Rose,diana.r@umt.edu.my,01901234567,MEMBER,Maritime Informatics,1,UK2009
Syed Saddiq,syed.s@umt.edu.my,01112345678,MEMBER,Mobile Computing,1,UK2010
Lim Mei Ling,meiling.l@umt.edu.my,01223456789,MEMBER,Software Engineering,1,UK2011
Khairul Anwar,khairul.a@umt.edu.my,01334567890,MEMBER,Maritime Informatics,2,UK2012
Aisyah Humaira,aisyah.h@umt.edu.my,01445678901,MEMBER,Mobile Computing,2,UK2013
Zhi Hao,zhihao.z@umt.edu.my,01556789012,MEMBER,Software Engineering,2,UK2014
Nadia Natasha,nadia.n@umt.edu.my,01667890123,MEMBER,Maritime Informatics,3,UK2015
Irfan Hakim,irfan.h@umt.edu.my,01778901234,MEMBER,Mobile Computing,3,UK2016
Saraswathy,saraswathy.s@umt.edu.my,01889012345,MEMBER,Software Engineering,3,UK2017
Tengku Zarif,zarif.t@umt.edu.my,01990123456,MEMBER,Maritime Informatics,4,UK2018
Marlia Musa,marlia.m@umt.edu.my,01101234567,MEMBER,Mobile Computing,4,UK2019
Daniel Arif,daniel.a@umt.edu.my,01212345678,MEMBER,Software Engineering,4,UK2020
